Freq,Rect,Flattop
18756120,-28.415,-85.4325
18756160,-27.91,-82.175
18756200,-27.585,-75.1575
18756240,-27.5375,-84.245
18756280,-27.77,-82.8325
18756320,-27.8875,-88.8075
18756360,-28.3525,-74.66
18756400,-29.075,-89.2125
18756440,-30.125,-89
18756480,-31.6,-92.525
18756520,-33.285,-80.355
18756560,-35.99,-78.11
18756600,-39.685,-82.62
18756640,-48.285,-82.735
18756680,-54.29,-82.27
18756720,-42.2775,-78.6125
18756760,-37.5825,-79.3675
18756800,-34.82,-68.4125
18756840,-32.61,-77.1425
18756880,-31.245,-77.4125
18756920,-30.1875,-70.8625
18756960,-29.4475,-78.9025
18757000,-28.9175,-77.9625
18757040,-28.6625,-78.4475
18757080,-28.59,-77.565
18757120,-28.705,-77.1975
18757160,-29.1325,-79.425
18757200,-29.545,-74.5975
18757240,-30.425,-80.265
18757280,-31.375,-82.2025
18757320,-32.915,-77.695
18757360,-34.83,-83.885
18757400,-37.6725,-85.35
18757440,-41.18,-84.0125
18757480,-50.8275,-90.955
18757520,-51.14,-92.1175
18757560,-42.165,-95.3725
18757600,-38.015,-92.9675
18757640,-35.2575,-84.505
18757680,-33.515,-86.725
18757720,-31.97,-86.5975
18757760,-30.9625,-85.8075
18757800,-30.2775,-83.0825
18757840,-29.8275,-81.94
18757880,-29.5125,-81.4775
18757920,-29.5675,-83.1525
18757960,-29.73,-81.875
18758000,-30.1475,-78.0825
18758040,-30.6725,-82.2125
18758080,-31.4475,-80.04
18758120,-32.66,-74.4675
18758160,-34.015,-81.8225
18758200,-36.1525,-81.2875
18758240,-38.9575,-77.66
18758280,-43.6525,-83.115
18758320,-53.0775,-84.035
18758360,-50.285,-82.9175
18758400,-42.355,-83.8375
18758440,-38.1725,-76.495
18758480,-36.1525,-87.8775
18758520,-33.9975,-69.0625
18758560,-32.9,-86.2275
18758600,-31.7725,-77.39
18758640,-31.11,-79.6025
18758680,-30.7625,-78.1425
18758720,-30.4375,-70.78
18758760,-30.465,-83.185
18758800,-30.56,-88.2625
18758840,-31.0275,-82.1075
18758880,-31.5725,-88.72
18758920,-32.3075,-72.735
18758960,-33.5625,-86.1225
18759000,-35.22,-87.81
18759040,-37.115,-79.4525
18759080,-40.45,-90.11
18759120,-45.695,-91.45
18759160,-61.2775,-82.71
18759200,-48.4725,-88.2075
18759240,-42.3775,-90.4275
18759280,-39,-86.0625
18759320,-36.3375,-89.6775
18759360,-34.5575,-89.105
18759400,-33.4,-85.255
18759440,-32.4125,-91.0825
18759480,-31.8475,-89.5525
18759520,-31.3825,-91.55
18759560,-31.27,-89.815
18759600,-31.2775,-94.595
18759640,-31.4,-84.895
18759680,-31.85,-95.2025
18759720,-32.585,-98.585
18759760,-33.335,-86.0575
18759800,-34.6175,-92.38
18759840,-36.3025,-91.3775
18759880,-38.15,-90.805
18759920,-41.8975,-86.5225
18759960,-46.82,-89.33
